,seed_0,seed_1,seed_2,seed_3,seed_4,seed_5,seed_6,seed_7,seed_8,seed_9
5980,0,0,0,0,0,0,0,0,0,0
2099,1,1,1,1,1,1,1,1,1,1
2776,1,1,1,1,1,1,1,1,1,1
1472,0,0,0,0,0,0,0,0,0,0
3930,0,0,0,0,0,0,0,0,0,0
7050,0,0,0,0,0,0,0,0,0,0
3600,0,0,0,0,0,0,0,0,0,0
960,0,0,0,0,0,0,0,0,0,0
2115,0,0,0,0,0,0,0,0,0,0
3607,0,0,0,0,0,0,0,0,0,0
7033,1,1,1,1,1,1,1,1,1,1
5457,0,0,0,0,0,0,0,0,0,0
2202,0,0,0,0,0,0,0,0,0,0
6829,0,0,0,0,0,0,0,0,0,0
5310,0,0,0,0,0,0,0,0,0,0
2709,1,1,1,1,1,1,1,1,1,1
6546,0,0,0,0,0,0,0,0,0,0
6851,0,0,0,0,0,0,0,0,0,0
5340,1,1,1,1,1,1,1,1,1,1
766,1,1,1,1,1,1,1,1,1,1
3572,0,0,0,0,0,0,0,0,0,0
5226,0,0,0,0,0,0,0,0,0,0
6002,0,0,0,0,0,0,0,0,0,0
4897,1,1,1,1,1,1,1,1,1,1
2480,0,0,0,0,0,0,0,0,0,0
3264,1,1,1,1,1,1,1,1,1,1
1221,0,0,0,0,0,0,0,0,0,0
4353,1,1,1,1,1,1,1,1,1,1
2492,0,0,0,0,0,0,0,0,0,0
7109,0,0,0,0,0,0,0,0,0,0
1968,0,0,0,0,0,0,0,0,0,0
2222,0,0,0,0,0,0,0,0,0,0
5069,0,0,0,0,0,0,0,0,0,0
5108,1,1,1,1,1,1,1,1,1,1
6785,1,1,1,1,1,1,1,1,1,1
6287,0,0,0,0,0,0,0,0,0,0
4047,1,1,1,1,1,1,1,1,1,1
2268,1,1,1,1,1,1,1,1,1,1
2838,0,0,0,0,0,0,0,0,0,0
6664,0,0,0,0,0,0,0,0,0,0
7210,0,0,0,0,0,0,0,0,0,0
4510,0,0,0,0,0,0,0,0,0,0
1846,0,0,0,0,0,0,0,0,0,0
2391,0,0,0,0,0,0,0,0,0,0
2823,0,0,0,0,0,0,0,0,0,0
5364,0,0,0,0,0,0,0,0,0,0
862,1,1,1,1,1,1,1,1,1,1
2080,0,0,0,0,0,0,0,0,0,0
7038,0,0,0,0,0,0,0,0,0,0
5643,0,0,0,0,0,0,0,0,0,0
6770,0,0,0,0,0,0,0,0,0,0
2183,1,1,1,1,1,1,1,1,1,1
3303,0,0,0,0,0,0,0,0,0,0
1545,0,0,0,0,0,0,0,0,0,0
5993,1,1,1,1,1,1,1,1,1,1
226,1,1,1,1,1,1,1,1,1,1
180,0,0,0,0,0,0,0,0,0,0
2522,0,0,0,0,0,0,0,0,0,0
3952,0,0,0,0,0,0,0,0,0,0
2942,1,1,1,1,1,1,1,1,1,1
2392,0,0,0,0,0,0,0,0,0,0
2663,1,1,1,1,1,1,1,1,1,1
2652,0,0,0,0,0,0,0,0,0,0
2262,0,0,0,0,0,0,0,0,0,0
4691,0,0,0,0,0,0,0,0,0,0
946,0,0,0,0,0,0,0,0,0,0
1001,0,0,0,0,0,0,0,0,0,0
2454,0,0,0,0,0,0,0,0,0,0
4674,0,0,0,0,0,0,0,0,0,0
4140,1,1,1,1,1,1,1,1,1,1
6554,0,0,0,0,0,0,0,0,0,0
4045,0,1,0,0,0,0,1,0,0,0
625,1,1,1,1,1,1,1,1,1,1
2169,1,1,1,1,1,1,1,1,1,1
6971,0,0,0,0,0,0,0,0,0,0
2224,1,1,1,1,1,1,1,1,1,1
6987,0,0,0,0,0,0,0,0,0,0
4620,1,1,1,1,1,1,1,1,1,1
7074,0,0,0,0,0,0,0,0,0,0
3355,1,1,1,1,1,1,1,1,1,1
235,0,0,0,0,0,0,0,0,0,0
3653,1,1,1,1,1,1,1,1,1,1
3672,0,0,0,0,0,0,0,0,0,0
4532,0,0,0,0,0,0,0,0,0,0
833,1,1,1,1,1,1,1,1,1,1
5350,0,0,0,0,0,0,0,0,0,0
1389,0,0,0,0,0,0,0,0,0,0
1930,0,0,0,0,0,0,0,0,0,0
2511,0,0,0,0,0,0,0,0,0,0
1254,0,0,0,0,0,0,0,0,0,0
3111,1,1,1,1,1,1,1,1,1,1
6670,1,1,1,1,1,1,1,1,1,1
1521,1,1,1,1,1,1,1,1,1,1
106,0,0,0,0,0,0,0,0,0,0
5009,0,0,0,0,0,0,0,0,0,0
5666,1,1,1,1,1,1,1,1,1,1
4492,0,0,0,0,0,0,0,0,0,0
4095,0,0,0,0,0,0,0,0,0,0
821,0,0,0,0,0,0,0,0,0,0
222,0,0,0,0,0,0,0,0,0,0
6788,0,0,0,0,0,0,0,0,0,0
5363,0,0,0,0,0,0,0,0,0,0
3185,0,0,0,0,0,0,0,0,0,0
6433,0,0,0,0,0,0,0,0,0,0
4727,0,0,0,0,0,0,0,0,0,0
5111,0,0,0,0,0,0,0,0,0,0
1979,0,0,0,0,0,0,0,0,0,0
6681,1,1,1,1,1,1,1,1,1,1
4699,0,0,0,0,0,0,0,0,0,0
565,0,0,0,0,0,0,0,0,0,0
4593,0,0,0,0,0,0,0,0,0,0
5611,1,1,1,1,1,1,1,1,1,1
2771,1,1,1,1,1,1,1,1,1,1
4936,0,0,0,0,0,0,0,0,0,0
44,0,0,0,0,0,0,0,0,0,0
3231,0,0,0,0,0,0,0,0,0,0
3833,1,1,1,1,1,1,1,1,1,1
1298,0,0,0,0,0,0,0,0,0,0
715,0,0,0,0,0,0,0,0,0,0
3312,0,0,0,0,0,0,0,0,0,0
5579,0,0,0,0,0,0,0,0,0,0
138,0,0,0,0,0,0,0,0,0,0
4638,0,0,0,0,0,0,0,0,0,0
4721,0,0,0,0,0,0,0,0,0,0
3546,0,0,0,0,0,0,0,0,0,0
1269,1,1,1,1,1,1,1,1,1,1
2667,0,0,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0,0,0
4943,0,0,0,0,0,0,0,0,0,0
6833,0,0,0,0,0,0,0,0,0,0
6009,0,0,0,0,0,0,0,0,0,0
5479,0,0,0,0,0,0,0,0,0,0
1876,0,0,0,0,0,0,0,0,0,0
3741,0,0,0,0,0,0,0,0,0,0
6073,0,0,0,0,0,0,0,0,0,0
2121,0,0,0,0,0,0,0,0,0,0
3859,0,0,0,0,0,0,0,0,0,0
5807,0,0,0,0,0,0,0,0,0,0
5536,0,0,0,0,0,0,0,0,0,0
1434,0,0,0,0,0,0,0,0,0,0
539,1,1,1,1,1,1,1,1,1,1
4317,0,0,0,0,0,0,0,0,0,0
4450,0,0,0,0,0,0,0,0,0,0
276,0,0,0,0,0,0,0,0,0,0
1610,0,0,0,0,0,0,0,0,0,0
7204,0,0,0,0,0,0,0,0,0,0
3010,1,1,1,1,1,1,1,1,1,1
6270,1,1,1,1,1,1,1,1,1,1
6075,0,0,0,0,0,0,0,0,0,0
2460,1,1,1,1,1,1,1,1,1,1
6316,0,0,0,0,0,0,0,0,0,0
312,0,0,0,0,0,0,0,0,0,0
3330,1,1,1,1,1,1,1,1,1,1
6642,0,0,0,0,0,0,0,0,0,0
6087,0,0,0,0,0,0,0,0,0,0
4713,0,0,0,0,0,0,0,0,0,0
5784,0,0,0,0,0,0,0,0,0,0
947,0,0,0,0,0,0,0,0,0,0
2497,0,0,0,0,0,0,0,0,0,0
1152,0,0,0,0,0,0,0,0,0,0
3327,0,0,0,0,0,0,0,0,0,0
3868,1,1,1,1,1,1,1,1,1,1
602,0,0,0,0,0,0,0,0,0,0
6810,1,1,1,1,1,1,1,1,1,1
4307,0,0,0,0,0,0,0,0,0,0
1462,1,1,1,1,1,1,1,1,1,1
4412,0,0,0,0,0,0,0,0,0,0
6053,0,0,0,0,0,0,0,0,0,0
179,0,0,0,0,0,0,0,0,0,0
537,0,0,0,0,0,0,0,0,0,0
2754,1,1,1,1,1,1,1,1,1,1
3523,1,1,1,1,1,1,1,1,1,1
2493,0,0,0,0,0,0,0,0,0,0
1675,0,0,0,0,0,0,0,0,0,0
6089,0,0,0,0,0,0,0,0,0,0
3268,0,0,0,0,0,0,0,0,0,0
5956,0,0,0,0,0,0,0,0,0,0
4181,0,0,0,0,0,0,0,0,0,0
3530,0,0,0,0,0,0,0,0,0,0
5839,0,0,0,0,0,0,0,0,0,0
2139,1,1,1,1,1,1,1,1,1,1
99,0,0,0,0,0,0,0,0,0,0
3526,0,0,0,0,0,0,0,0,0,0
2085,0,0,0,0,0,0,0,0,0,0
7143,1,1,1,1,1,1,1,1,1,1
1556,1,1,1,1,1,1,1,1,1,1
1383,0,0,0,0,0,0,0,0,0,0
3484,0,0,0,0,0,0,0,0,0,0
1601,0,0,0,0,0,0,0,0,0,0
6709,0,0,0,0,0,0,0,0,0,0
442,1,1,1,1,1,1,1,1,1,1
360,0,0,0,0,0,0,0,0,0,0
3258,0,0,0,0,0,0,0,0,0,0
3543,0,0,0,0,0,0,0,0,0,0
5156,0,0,0,0,0,0,0,0,0,0
5578,1,1,1,1,1,1,1,1,1,1
1776,0,0,0,0,0,0,0,0,0,0
2974,0,0,0,0,0,0,0,0,0,0
5725,0,0,0,0,0,0,0,0,0,0
5372,0,0,0,0,0,0,0,0,0,0
2081,0,0,0,0,0,0,0,0,0,0
4286,1,1,1,1,1,1,1,1,1,1
102,0,0,0,0,0,0,0,0,0,0
7208,0,0,0,0,0,0,0,0,0,0
7020,0,0,0,0,0,0,0,0,0,0
1403,0,0,0,0,0,0,0,0,0,0
6428,0,0,0,0,0,0,0,0,0,0
6376,0,0,0,0,0,0,0,0,0,0
6479,0,0,0,0,0,0,0,0,0,0
4790,0,0,0,0,0,0,0,0,0,0
2223,1,1,1,1,1,1,1,1,1,1
4932,0,0,0,0,0,0,0,0,0,0
4776,1,1,1,1,1,1,1,1,1,1
329,0,0,0,0,0,0,0,0,0,0
735,0,0,0,0,0,0,0,0,0,0
2155,1,1,1,1,1,1,1,1,1,1
1082,1,1,1,1,1,1,1,1,1,1
2810,1,1,1,1,1,1,1,1,1,1
1138,1,1,1,1,1,1,1,1,1,1
904,0,0,0,0,0,0,0,0,0,0
4912,0,0,0,0,0,0,0,0,0,0
5842,0,0,0,0,0,0,0,0,0,0
5262,0,0,0,0,0,0,0,0,0,0
1960,0,0,0,0,0,0,0,0,0,0
1646,1,1,1,1,1,1,1,1,1,1
5962,1,1,1,1,1,1,1,1,1,1
6458,0,0,0,0,0,0,0,0,0,0
6132,1,1,1,1,1,1,1,1,1,1
471,0,0,0,0,0,0,0,0,0,0
3637,0,0,0,0,0,0,0,0,0,0
3053,0,0,0,0,0,0,0,0,0,0
7141,1,1,1,1,1,1,1,1,1,1
5370,0,0,0,0,0,0,0,0,0,0
6935,0,0,0,0,0,0,0,0,0,0
6499,0,0,0,0,0,0,0,0,0,0
5685,1,1,1,1,1,1,1,1,1,1
5926,0,0,0,0,0,0,0,0,0,0
6047,0,0,0,0,0,0,0,0,0,0
2570,1,1,1,1,1,1,1,1,1,1
6983,0,0,0,0,0,0,0,0,0,0
2602,0,0,0,0,0,0,0,0,0,0
7155,0,0,0,0,0,0,0,0,0,0
1270,0,0,0,0,0,0,0,0,0,0
976,1,1,1,1,1,1,1,1,1,1
1537,0,0,0,0,0,0,0,0,0,0
5769,0,0,0,0,0,0,0,0,0,0
1958,0,0,0,0,0,0,0,0,0,0
3366,0,0,0,0,0,0,0,0,0,0
5128,0,0,0,0,0,0,0,0,0,0
1645,1,1,1,1,1,1,1,1,1,1
4863,0,0,0,0,0,0,0,0,0,0
6578,0,0,0,0,0,0,0,0,0,0
555,1,1,1,1,1,1,1,1,1,1
4547,0,0,0,0,0,0,0,0,0,0
985,1,1,1,1,1,1,1,1,1,1
4773,0,0,0,0,0,0,0,0,0,0
609,0,0,0,0,0,0,0,0,0,0
6232,0,0,0,0,0,0,0,0,0,0
5626,1,1,1,1,1,1,1,1,1,1
1886,0,0,0,0,0,0,0,0,0,0
6922,1,1,1,1,1,1,1,1,1,1
6295,0,0,0,0,0,0,0,0,0,0
4480,1,1,1,1,1,1,1,1,1,1
5699,1,1,1,1,1,1,1,1,1,1
3570,0,0,0,0,0,0,0,0,0,0
1098,0,0,0,0,0,0,0,0,0,0
6182,0,0,0,0,0,0,0,0,0,0
3328,0,0,0,0,0,0,0,0,0,0
1938,1,1,1,1,1,1,1,1,1,1
2442,0,0,0,0,0,0,0,0,0,0
3065,0,0,0,0,0,0,0,0,0,0
2261,0,0,0,0,0,0,0,0,0,0
1966,0,0,0,0,0,0,0,0,0,0
2848,0,0,0,0,0,0,0,0,0,0
2541,1,1,1,1,1,1,1,1,1,1
5229,1,1,1,1,1,1,1,1,1,1
354,1,1,1,1,1,1,1,1,1,1
5361,0,0,0,0,0,0,0,0,0,0
6689,1,1,1,1,1,1,1,1,1,1
5265,0,0,0,0,0,0,0,0,0,0
2091,0,0,0,0,0,0,0,0,0,0
4841,0,0,0,0,0,0,0,0,0,0
4123,0,0,0,0,0,0,0,0,0,0
1885,1,1,1,1,1,1,1,1,1,1
3300,0,0,0,0,0,0,0,0,0,0
6936,0,0,0,0,0,0,0,0,0,0
291,0,0,0,0,0,0,0,0,0,0
5942,0,0,0,0,0,0,0,0,0,0
2720,0,0,0,0,0,0,0,0,0,0
4296,0,0,0,0,0,0,0,0,0,0
3416,0,0,0,0,0,0,0,0,0,0
1691,1,1,1,1,1,1,1,1,1,1
1790,1,1,1,1,1,1,1,1,1,1
6246,0,0,0,0,0,0,0,0,0,0
3586,0,0,0,0,0,0,0,0,0,0
6309,0,0,0,0,0,0,0,0,0,0
5449,0,0,0,0,0,0,0,0,0,0
596,0,0,0,0,0,0,0,0,0,0
2575,0,0,0,0,0,0,0,0,0,0
529,0,0,0,0,0,0,0,0,0,0
474,0,0,0,0,0,0,0,0,0,0
3789,0,0,0,0,0,0,0,0,0,0
4847,1,1,1,1,1,1,1,1,1,1
4909,0,0,0,0,0,0,0,0,0,0
1002,0,0,0,0,0,0,0,0,0,0
2578,0,0,0,0,0,0,0,0,0,0
6254,0,0,0,0,0,0,0,0,0,0
6392,0,0,0,0,0,0,0,0,0,0
5276,0,0,0,0,0,0,0,0,0,0
1158,0,0,0,0,0,0,0,0,0,0
775,0,0,0,0,0,0,0,0,0,0
6247,1,1,1,1,1,1,1,1,1,1
4197,0,0,0,0,0,0,0,0,0,0
2253,0,0,0,0,0,0,0,0,0,0
3786,0,0,0,0,0,0,0,0,0,0
1820,1,1,1,1,1,1,1,1,1,1
5861,0,0,0,0,0,0,0,0,0,0
5412,1,1,1,1,1,1,1,1,1,1
4220,0,0,0,0,0,0,0,0,0,0
4200,0,0,0,0,0,0,0,0,0,0
3403,0,0,0,0,0,0,0,0,0,0
6529,1,1,1,1,1,1,1,1,1,1
1096,0,0,0,0,0,0,0,0,0,0
4298,0,0,0,0,0,0,0,0,0,0
6820,0,0,0,0,0,0,0,0,0,0
2819,1,1,1,1,1,1,1,1,1,1
7129,0,0,0,0,0,0,0,0,0,0
5899,0,0,0,0,0,0,0,0,0,0
6074,0,0,0,0,0,0,0,0,0,0
5249,0,0,0,0,0,0,0,0,0,0
3934,1,1,1,1,1,1,1,1,1,1
6241,0,0,0,0,0,0,0,0,0,0
3365,0,0,0,0,0,0,0,0,0,0
1425,0,0,0,0,0,0,0,0,0,0
3525,0,0,0,0,0,0,0,0,0,0
5787,0,0,0,0,0,0,0,0,0,0
5960,1,1,1,1,1,1,1,1,1,1
4758,1,1,1,1,1,1,1,1,1,1
6867,0,0,0,0,0,0,0,0,0,0
7116,0,0,0,0,0,0,0,0,0,0
1038,1,1,1,1,1,1,1,1,1,1
2672,1,1,1,1,1,1,1,1,1,1
5235,0,0,0,0,0,0,0,0,0,0
111,0,0,0,0,0,0,0,0,0,0
1378,0,0,0,0,0,0,0,0,0,0
5393,0,0,0,0,0,0,0,0,0,0
698,0,0,0,0,0,0,0,0,0,0
3498,1,1,1,1,1,1,1,1,1,1
4717,0,0,0,0,0,0,0,0,0,0
4994,0,0,0,0,0,0,0,0,0,0
5322,0,0,0,0,0,0,0,0,0,0
4253,0,0,0,0,0,0,0,0,0,0
4256,0,0,0,0,0,0,0,0,0,0
3091,0,0,0,0,0,0,0,0,0,0
6344,1,1,1,1,1,1,1,1,1,1
1631,0,0,0,0,0,0,0,0,0,0
738,0,0,0,0,0,0,0,0,0,0
6265,0,0,0,0,0,0,0,0,0,0
1824,0,0,0,0,0,0,0,0,0,0
6191,0,0,0,0,0,0,0,0,0,0
1899,1,1,1,1,1,1,1,1,1,1
2850,0,0,0,0,0,0,0,0,0,0
1949,0,0,0,0,0,0,0,0,0,0
5592,1,1,1,1,1,1,1,1,1,1
6723,1,1,1,1,1,1,1,1,1,1
5131,1,1,1,1,1,1,1,1,1,1
939,0,0,0,0,0,0,0,0,0,0
3813,0,0,0,0,0,0,0,0,0,0
4399,0,0,0,0,0,0,0,0,0,0
868,1,1,1,1,1,1,1,1,1,1
6177,0,0,0,0,0,0,0,0,0,0
279,0,0,0,0,0,0,0,0,0,0
3857,0,0,0,0,0,0,0,0,0,0
2828,0,0,0,0,0,0,0,0,0,0
4458,0,0,0,0,0,0,0,0,0,0
5859,1,1,1,1,1,1,1,1,1,1
1380,0,0,0,0,0,0,0,0,0,0
5747,1,1,1,1,1,1,1,1,1,1
5737,0,0,0,0,0,0,0,0,0,0
2213,0,0,0,0,0,0,0,0,0,0
3688,0,0,0,0,0,0,0,0,0,0
655,1,1,1,1,1,1,1,1,1,1
5353,0,0,0,0,0,0,0,0,0,0
3489,0,0,0,0,0,0,0,0,0,0
1836,1,1,1,1,1,1,1,1,1,1
5237,1,1,1,1,1,1,1,1,1,1
3936,0,0,0,0,0,0,0,0,0,0
6880,0,0,0,0,0,0,0,0,0,0
4117,1,1,1,1,1,1,1,1,1,1
6780,0,0,0,0,0,0,0,0,0,0
3278,0,0,0,0,0,0,0,0,0,0
4722,0,0,0,0,0,0,0,0,0,0
1629,1,1,1,1,1,1,1,1,1,1
6159,0,0,0,0,0,0,0,0,0,0
622,1,1,1,1,1,1,1,1,1,1
1906,0,0,0,0,0,0,0,0,0,0
6912,0,0,0,0,0,0,0,0,0,0
640,0,0,0,0,0,0,0,0,0,0
7079,0,0,0,0,0,0,0,0,0,0
6507,0,0,0,0,0,0,0,0,0,0
50,0,0,0,0,0,0,0,0,0,0
75,0,0,0,0,0,0,0,0,0,0
4719,0,0,0,0,0,0,0,0,0,0
4162,0,0,0,0,0,0,0,0,0,0
2795,1,1,1,1,1,1,1,1,1,1
2248,0,0,0,0,0,0,0,0,0,0
521,0,0,0,0,0,0,0,0,0,0
6742,1,1,1,1,1,1,1,1,1,1
4962,0,0,0,0,0,0,0,0,0,0
1619,0,0,0,0,0,0,0,0,0,0
6217,0,0,0,0,0,0,0,0,0,0
1028,1,1,1,1,1,1,1,1,1,1
1768,0,0,0,0,0,0,0,0,0,0
6605,0,0,0,0,0,0,0,0,0,0
5515,1,1,1,1,1,1,1,1,1,1
801,1,1,1,1,1,1,1,1,1,1
4732,0,0,0,0,0,0,0,0,0,0
5923,0,0,0,0,0,0,0,0,0,0
5036,0,0,0,0,0,0,0,0,0,0
4224,1,1,1,1,1,1,1,1,1,1
7094,0,0,0,0,0,0,0,0,0,0
4663,0,0,0,0,0,0,0,0,0,0
4670,0,0,0,0,0,0,0,0,0,0
2448,0,0,0,0,0,0,0,0,0,0
6477,1,1,1,1,1,1,1,1,1,1
6569,0,0,0,0,0,0,0,0,0,0
6766,0,0,0,0,0,0,0,0,0,0
1414,0,0,0,0,0,0,0,0,0,0
5114,1,1,1,1,1,1,1,1,1,1
2710,0,0,0,0,0,0,0,0,0,0
5386,0,0,0,0,0,0,0,0,0,0
2469,1,1,1,1,1,1,1,1,1,1
497,0,0,0,0,0,0,0,0,0,0
7117,0,0,0,0,0,0,0,0,0,0
5401,1,1,1,1,1,1,1,1,1,1
5738,0,0,0,0,0,0,0,0,0,0
1286,0,0,0,0,0,0,0,0,0,0
1713,1,1,1,1,1,1,1,1,1,1
2364,0,0,0,0,0,0,0,0,0,0
884,0,0,0,0,0,0,0,0,0,0
637,0,0,0,0,0,0,0,0,0,0
2467,1,1,1,1,1,1,1,1,1,1
3748,0,0,0,0,0,0,0,0,0,0
4000,0,0,0,0,0,0,0,0,0,0
2024,0,0,0,0,0,0,0,0,0,0
2404,0,0,0,0,0,0,0,0,0,0
4283,0,0,0,0,0,0,0,0,0,0
5824,0,0,0,0,0,0,0,0,0,0
2841,0,0,0,0,0,0,0,0,0,0
